"","Gen","variable","value","FracOfAll"
"1",1,"10",0,0
"11",11,"10",0,0
"21",21,"10",0,0
"31",31,"10",1,0.000546448087431694
"41",41,"10",4,0.00222098833981122
"51",51,"10",0,0
"61",61,"10",0,0
"71",71,"10",0,0
"81",81,"10",0,0
"91",91,"10",0,0
"101",101,"10",0,0
"111",111,"10",0,0
"121",121,"10",0,0
"131",131,"10",0,0
"141",141,"10",0,0
"151",151,"10",0,0
"161",161,"10",0,0
"171",171,"10",0,0
"181",181,"10",0,0
"191",191,"10",0,0
"201",201,"10",0,0
"211",211,"10",0,0
"221",221,"10",0,0
"231",231,"10",0,0
"241",241,"10",0,0
"251",251,"10",0,0
"261",261,"10",0,0
"271",271,"10",0,0
"281",281,"10",0,0
"291",291,"10",0,0
"300",300,"10",0,0
"302",1,"101",0,0
"312",11,"101",0,0
"322",21,"101",0,0
"332",31,"101",0,0
"342",41,"101",0,0
"352",51,"101",0,0
"362",61,"101",0,0
"372",71,"101",0,0
"382",81,"101",0,0
"392",91,"101",0,0
"402",101,"101",0,0
"412",111,"101",0,0
"422",121,"101",0,0
"432",131,"101",0,0
"442",141,"101",0,0
"452",151,"101",0,0
"462",161,"101",0,0
"472",171,"101",0,0
"482",181,"101",0,0
"492",191,"101",0,0
"502",201,"101",0,0
"512",211,"101",0,0
"522",221,"101",0,0
"532",231,"101",0,0
"542",241,"101",0,0
"552",251,"101",0,0
"562",261,"101",0,0
"572",271,"101",0,0
"582",281,"101",0,0
"592",291,"101",0,0
"601",300,"101",0,0
"603",1,"1025",0,0
"613",11,"1025",0,0
"623",21,"1025",0,0
"633",31,"1025",0,0
"643",41,"1025",0,0
"653",51,"1025",0,0
"663",61,"1025",0,0
"673",71,"1025",0,0
"683",81,"1025",0,0
"693",91,"1025",0,0
"703",101,"1025",0,0
"713",111,"1025",0,0
"723",121,"1025",0,0
"733",131,"1025",0,0
"743",141,"1025",0,0
"753",151,"1025",0,0
"763",161,"1025",0,0
"773",171,"1025",0,0
"783",181,"1025",0,0
"793",191,"1025",0,0
"803",201,"1025",0,0
"813",211,"1025",0,0
"823",221,"1025",0,0
"833",231,"1025",0,0
"843",241,"1025",0,0
"853",251,"1025",0,0
"863",261,"1025",0,0
"873",271,"1025",0,0
"883",281,"1025",0,0
"893",291,"1025",0,0
"902",300,"1025",0,0
"904",1,"11",0,0
"914",11,"11",0,0
"924",21,"11",0,0
"934",31,"11",2,0.00109289617486339
"944",41,"11",1,0.000555247084952804
"954",51,"11",7,0.00376546530392684
"964",61,"11",3,0.00170357751277683
"974",71,"11",3,0.00177725118483412
"984",81,"11",5,0.00265957446808511
"994",91,"11",8,0.0045045045045045
"1004",101,"11",10,0.00527426160337553
"1014",111,"11",1,0.00058411214953271
"1024",121,"11",11,0.00593952483801296
"1034",131,"11",15,0.00827814569536424
"1044",141,"11",53,0.0299773755656109
"1054",151,"11",24,0.0132450331125828
"1064",161,"11",9,0.00507900677200903
"1074",171,"11",2,0.00111669458403127
"1084",181,"11",0,0
"1094",191,"11",2,0.00108754758020663
"1104",201,"11",0,0
"1114",211,"11",0,0
"1124",221,"11",0,0
"1134",231,"11",0,0
"1144",241,"11",0,0
"1154",251,"11",0,0
"1164",261,"11",0,0
"1174",271,"11",0,0
"1184",281,"11",0,0
"1194",291,"11",0,0
"1203",300,"11",0,0
"1205",1,"117",0,0
"1215",11,"117",0,0
"1225",21,"117",0,0
"1235",31,"117",0,0
"1245",41,"117",0,0
"1255",51,"117",0,0
"1265",61,"117",0,0
"1275",71,"117",0,0
"1285",81,"117",0,0
"1295",91,"117",0,0
"1305",101,"117",0,0
"1315",111,"117",0,0
"1325",121,"117",0,0
"1335",131,"117",0,0
"1345",141,"117",0,0
"1355",151,"117",0,0
"1365",161,"117",0,0
"1375",171,"117",0,0
"1385",181,"117",0,0
"1395",191,"117",0,0
"1405",201,"117",0,0
"1415",211,"117",0,0
"1425",221,"117",0,0
"1435",231,"117",0,0
"1445",241,"117",0,0
"1455",251,"117",0,0
"1465",261,"117",0,0
"1475",271,"117",0,0
"1485",281,"117",0,0
"1495",291,"117",0,0
"1504",300,"117",0,0
"1506",1,"1193",0,0
"1516",11,"1193",0,0
"1526",21,"1193",0,0
"1536",31,"1193",0,0
"1546",41,"1193",0,0
"1556",51,"1193",0,0
"1566",61,"1193",0,0
"1576",71,"1193",0,0
"1586",81,"1193",0,0
"1596",91,"1193",0,0
"1606",101,"1193",0,0
"1616",111,"1193",0,0
"1626",121,"1193",0,0
"1636",131,"1193",0,0
"1646",141,"1193",0,0
"1656",151,"1193",0,0
"1666",161,"1193",0,0
"1676",171,"1193",0,0
"1686",181,"1193",0,0
"1696",191,"1193",0,0
"1706",201,"1193",0,0
"1716",211,"1193",0,0
"1726",221,"1193",0,0
"1736",231,"1193",0,0
"1746",241,"1193",0,0
"1756",251,"1193",0,0
"1766",261,"1193",0,0
"1776",271,"1193",0,0
"1786",281,"1193",0,0
"1796",291,"1193",0,0
"1805",300,"1193",0,0
"1807",1,"12",0,0
"1817",11,"12",0,0
"1827",21,"12",0,0
"1837",31,"12",0,0
"1847",41,"12",0,0
"1857",51,"12",0,0
"1867",61,"12",0,0
"1877",71,"12",0,0
"1887",81,"12",0,0
"1897",91,"12",0,0
"1907",101,"12",0,0
"1917",111,"12",0,0
"1927",121,"12",0,0
"1937",131,"12",0,0
"1947",141,"12",0,0
"1957",151,"12",0,0
"1967",161,"12",0,0
"1977",171,"12",0,0
"1987",181,"12",0,0
"1997",191,"12",0,0
"2007",201,"12",0,0
"2017",211,"12",0,0
"2027",221,"12",0,0
"2037",231,"12",0,0
"2047",241,"12",0,0
"2057",251,"12",0,0
"2067",261,"12",0,0
"2077",271,"12",0,0
"2087",281,"12",0,0
"2097",291,"12",0,0
"2106",300,"12",0,0
"2108",1,"127",0,0
"2118",11,"127",0,0
"2128",21,"127",0,0
"2138",31,"127",0,0
"2148",41,"127",12,0.00666296501943365
"2158",51,"127",9,0.00484131253362023
"2168",61,"127",7,0.00397501419647927
"2178",71,"127",5,0.00296208530805687
"2188",81,"127",4,0.00212765957446809
"2198",91,"127",7,0.00394144144144144
"2208",101,"127",1,0.000527426160337553
"2218",111,"127",0,0
"2228",121,"127",0,0
"2238",131,"127",0,0
"2248",141,"127",0,0
"2258",151,"127",0,0
"2268",161,"127",0,0
"2278",171,"127",0,0
"2288",181,"127",0,0
"2298",191,"127",0,0
"2308",201,"127",0,0
"2318",211,"127",0,0
"2328",221,"127",0,0
"2338",231,"127",0,0
"2348",241,"127",0,0
"2358",251,"127",0,0
"2368",261,"127",0,0
"2378",271,"127",0,0
"2388",281,"127",0,0
"2398",291,"127",0,0
"2407",300,"127",0,0
"2409",1,"13",0,0
"2419",11,"13",0,0
"2429",21,"13",0,0
"2439",31,"13",0,0
"2449",41,"13",0,0
"2459",51,"13",0,0
"2469",61,"13",0,0
"2479",71,"13",0,0
"2489",81,"13",0,0
"2499",91,"13",0,0
"2509",101,"13",0,0
"2519",111,"13",0,0
"2529",121,"13",0,0
"2539",131,"13",0,0
"2549",141,"13",0,0
"2559",151,"13",0,0
"2569",161,"13",0,0
"2579",171,"13",0,0
"2589",181,"13",0,0
"2599",191,"13",0,0
"2609",201,"13",0,0
"2619",211,"13",0,0
"2629",221,"13",0,0
"2639",231,"13",0,0
"2649",241,"13",0,0
"2659",251,"13",0,0
"2669",261,"13",0,0
"2679",271,"13",0,0
"2689",281,"13",0,0
"2699",291,"13",0,0
"2708",300,"13",0,0
"2710",1,"131",0,0
"2720",11,"131",0,0
"2730",21,"131",0,0
"2740",31,"131",0,0
"2750",41,"131",0,0
"2760",51,"131",0,0
"2770",61,"131",0,0
"2780",71,"131",0,0
"2790",81,"131",0,0
"2800",91,"131",0,0
"2810",101,"131",0,0
"2820",111,"131",0,0
"2830",121,"131",0,0
"2840",131,"131",0,0
"2850",141,"131",0,0
"2860",151,"131",0,0
