"Country.name","Year","Usage","ResistanceLevel","SampleSize"
"Austria",2011,6.5,7.22278738,1966
"Austria",2012,6.3,8.04066543,2164
"Austria",2013,7.4,9.11602209,2534
"Austria",2014,4.7,7.73293096,2651
"Austria",2015,4.7,7.43267504,2785
"Austria",2016,4.7,7.20602685,3053
"Austria",2017,5.1,5.92146928,3158
"Austria",2018,4.7,6.3804052,3307
"Austria",2019,4.6,5.20613903,3323
"Austria",2020,3.3,4.39676398,2843
"Austria",2021,3.5,3.10224754,3159
"Austria",2022,4.5,3.92535392,3108
"Belgium",2011,16.6,17.43119266,1744
"Belgium",2012,17,16.58163265,1568
"Belgium",2013,16.9,16.87344913,1612
"Belgium",2014,9.9,13.46153846,988
"Belgium",2015,10.1,12.26725082,913
"Belgium",2016,10.2,12.17008797,1364
"Belgium",2017,9.7,8.53739245,1511
"Belgium",2018,10.1,9.04899135,1735
"Belgium",2019,9.8,6.67808219,1168
"Belgium",2020,7,6.94158075,1455
"Belgium",2021,7.5,4.08921933,1614
"Belgium",2022,9.6,4.15549597,1492
"Bulgaria",2011,8.4,22.42990654,214
"Bulgaria",2012,7.8,19.82378854,227
"Bulgaria",2013,8.4,19.1588785,214
"Bulgaria",2014,5.6,20.83333333,216
"Bulgaria",2015,5.5,13.06306306,222
"Bulgaria",2016,4.7,14.28571428,231
"Bulgaria",2017,5.4,13.65638766,227
"Bulgaria",2018,5.5,17.57188498,313
"Bulgaria",2019,5.4,14.81481481,324
"Bulgaria",2020,4.7,11.81818181,220
"Bulgaria",2021,4.8,15.16587677,211
"Bulgaria",2022,5.9,12.01716738,233
"Croatia",2011,9.6,27.71084337,415
"Croatia",2012,11.2,21.33995037,403
"Croatia",2013,11.3,24.03846153,520
"Croatia",2014,8,21.28099173,484
"Croatia",2015,8.1,24.4855967,486
"Croatia",2016,7.9,25.32751091,458
"Croatia",2017,7.8,28.46153846,520
"Croatia",2018,7.8,26.41921397,458
"Croatia",2019,7.9,24.86033519,358
"Croatia",2020,6.2,29.24528301,424
"Croatia",2021,6.9,34.83333333,600
"Croatia",2022,7.8,31.09656301,611
"Cyprus",2011,15.4,41.59292035,113
"Cyprus",2012,13.8,35.15151515,165
"Cyprus",2013,12.9,32.48407643,157
"Cyprus",2014,NA,36.02941176,136
"Cyprus",2015,NA,43.35664335,143
"Cyprus",2016,NA,38.84892086,139
"Cyprus",2017,NA,31.2,125
"Cyprus",2018,NA,40.17094017,117
"Cyprus",2019,NA,36.20689655,58
"Cyprus",2020,NA,49.05660377,106
"Cyprus",2021,NA,42.9378531,177
"Cyprus",2022,NA,50.76923076,195
"Czechia",2011,8,14.53376205,1555
"Czechia",2012,7,13.15952824,1611
"Czechia",2013,8,13.41534856,1707
"Czechia",2014,6.1,13.15634218,1695
"Czechia",2015,6.3,13.34440753,1806
"Czechia",2016,NA,13.72549019,1887
"Czechia",2017,NA,14.0946502,1944
"Czechia",2018,NA,13.6870263,2243
"Czechia",2019,NA,12.52371916,2108
"Czechia",2020,NA,9.33460986,2089
"Czechia",2021,3.8,9.43396226,2279
"Czechia",2022,4.9,7.48862225,2417
"Denmark",2011,10.9,1.30853994,1452
"Denmark",2012,10.3,1.32774283,1431
"Denmark",2013,10.6,1.72106824,1685
"Denmark",2014,9.7,2.45464247,1874
"Denmark",2015,9.9,1.54584221,1876
"Denmark",2016,9.8,1.98675496,1963
"Denmark",2017,9.5,2.50501002,1996
"Denmark",2018,9.2,1.65061898,2181
"Denmark",2019,8.9,2.20994475,2172
"Denmark",2020,8.1,1.71548117,2390
"Denmark",2021,8.2,1.80746561,2545
"Denmark",2022,8.8,1.85089974,1945
"Estonia",2011,4.6,1.72413793,116
"Estonia",2012,4.5,7.69230769,104
"Estonia",2013,4.5,3.52941176,170
"Estonia",2014,3.2,3.13901345,223
"Estonia",2015,3.3,3.97350993,151
"Estonia",2016,3.4,3.50318471,314
"Estonia",2017,3.5,2.06896551,290
"Estonia",2018,3.7,3.34261838,359
"Estonia",2019,3.7,3.00546448,366
"Estonia",2020,3.2,2.9972752,367
"Estonia",2021,3.2,1.50753768,398
"Estonia",2022,4.2,2.21130221,407
"EU/EEA* ",2011,10.9,NA,NA
"EU/EEA* ",2012,10.8,NA,NA
"EU/EEA* ",2013,11.2,NA,NA
"EU/EEA* ",2014,7.4,NA,NA
"EU/EEA* ",2015,7.7,NA,NA
"EU/EEA* ",2016,7.7,NA,NA
"EU/EEA* ",2017,7.5,NA,NA
"EU/EEA* ",2018,7.6,NA,NA
"EU/EEA* ",2019,7.6,NA,NA
