Country name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,6.5,6.3,7.4,4.7,4.7,4.7,5.1,4.7,4.6,3.3,3.5,4.5
Belgium,16.6,17.0,16.9,9.9,10.1,10.2,9.7,10.1,9.8,7.0,7.5,9.6
Bulgaria,8.4,7.8,8.4,5.6,5.5,4.7,5.4,5.5,5.4,4.7,4.8,5.9
Croatia,9.6,11.2,11.3,8.0,8.1,7.9,7.8,7.8,7.9,6.2,6.9,7.8
Cyprus,15.4*,13.8*,12.9*,,,,,,,,,
Czechia,8.0,7.0,8.0,6.1,6.3,,,,,,3.8,4.9
Denmark,10.9,10.3,10.6,9.7,9.9,9.8,9.5,9.2,8.9,8.1,8.2,8.8
Estonia,4.6,4.5,4.5,3.2,3.3,3.4,3.5,3.7,3.7,3.2,3.2,4.2
EU/EEA* ,10.9,10.8,11.2,7.4,7.7,7.7,7.5,7.6,7.6,5.8,6.0,7.5
Finland,6.6,6.5,6.2,5.0,4.9,4.8,4.4,4.4,4.3,3.1,3.0,3.8
France,16.5,17.4,18.4,12.2,12.7,13.3,13.0,13.3,13.3,10.1,11.0,13.0
Germany,3.9,4.5,4.8,3.4,3.3,3.4,3.8,3.7,4.0,3.1,2.8,3.9
Greece,12.4,12.9,12.6,8.0,9.8,10.9,10.8,11.1,11.0,8.7,7.4,9.8
Hungary,7.0,6.6,6.8,4.6,4.8,4.4,4.5,4.6,4.6,3.2,3.3,4.4
Iceland,12.1*,12.0*,11.6*,8.3,8.3,8.9,9.1,9.1,8.5,7.0,7.5,8.7
Ireland,12.2,12.5,13.1,9.7,11.3,10.3,9.5,9.7,10.0,7.4,7.2,10.4
Italy,15.6,15.4,16.1,10.5,10.4,10.3,8.8,8.9,9.2,7.4,7.1,9.0
Latvia,6.1,6.2,6.6,4.1,4.4,4.3,4.6,4.6,4.6,3.6,3.5,5.2
Lithuania,10.4*,9.1,10.6,6.1,6.5,6.5,6.7,6.5,6.3,4.9,5.5,7.7
Luxembourg,13.5,13.7,13.8,8.6,9.0,8.4,6.8,8.5,8.3,6.0,6.0,7.8
Malta,10.2,9.0,9.5,6.5,5.8,5.9,7.3,6.1,6.7,5.2,5.5,8.6
Netherlands,4.5,4.5,4.4,3.1,3.1,3.1,2.9,2.9,2.8,2.4,2.4,2.9
Norway,6.8,6.8,6.6,6.1,6.1,5.8,5.6,5.5,5.7,4.8,4.9,5.8
Poland,11.8†,9.2,9.5,6.0,7.1,6.8,6.6,6.8,6.4,4.4,5.2,6.9
Portugal,12.3,12.4,11.1†,7.9,8.3,8.6,8.7,9.2,9.1,6.7,6.6,8.6
Romania,17.6*,17.2*,17.9*,,,,,,11.3,10.5,10.6,11.6
Slovakia,9.3*,7.9,9.0,6.2,6.4,6.0,5.1,5.0,4.8,3.3,3.3,4.6
Slovenia,9.7,9.6,9.8,6.9,7.0,6.8,6.9,6.9,6.7,4.7,4.6,6.3
Spain,13.1†,12.3†,12.8†,9.4,9.8,14.8,14.2,13.8,13.2,9.9,9.9,11.8
Sweden,7.1,7.0,6.6,6.4,6.0,6.0,5.9,5.7,5.5,4.5,4.4,4.9
United Kingdom,8.7,9.3,9.2,7.0,6.7,6.6,6.4,6.2,5.8,,,
