"Country.name","Year","Usage","ResistanceLevel","SampleSize"
"Austria",2011,1.3,22.26438962,3162
"Austria",2012,1.3,20.55401662,3610
"Austria",2013,1.47,21.96774947,4279
"Austria",2014,1.3,19.81904351,4642
"Austria",2015,1.31,20.02911813,4808
"Austria",2016,1.2,19.83705949,5278
"Austria",2017,1.23,20.45835662,5367
"Austria",2018,1.04,21.8524388,5679
"Austria",2019,0.73,18.21305841,6111
"Austria",2020,0.57,17.3459892,5373
"Austria",2021,0.52,15.07492327,5539
"Austria",2022,0.57,13.93065998,4788
"Belgium",2011,2.7,21.52719075,3549
"Belgium",2012,2.8,22.16216216,3515
"Belgium",2013,2.64,22.95161682,4113
"Belgium",2014,2.55,26.70257791,2599
"Belgium",2015,2.57,26.58869395,2565
"Belgium",2016,2.4,24.54592631,3854
"Belgium",2017,2.17,23.80191693,4382
"Belgium",2018,1.16,21.80004749,4211
"Belgium",2019,0.57,19.05732484,3925
"Belgium",2020,0.46,18.0787037,4320
"Belgium",2021,0.45,18.53420885,4721
"Belgium",2022,0.47,17.54850088,4536
"Bulgaria",2011,2.3,30.16759776,179
"Bulgaria",2012,2.4,34.08071748,223
"Bulgaria",2013,2.52,37.43315508,187
"Bulgaria",2014,2.87,38.60465116,215
"Bulgaria",2015,2.83,35.29411764,204
"Bulgaria",2016,2.78,42.19409282,237
"Bulgaria",2017,2.86,42.10526315,247
"Bulgaria",2018,2.83,41.78082191,292
"Bulgaria",2019,2.76,38.63636363,352
"Bulgaria",2020,3.35,42.91187739,261
"Bulgaria",2021,3.92,33.46007604,263
"Bulgaria",2022,3.35,40.58577405,239
"Croatia",2011,1.3,20.27310924,952
"Croatia",2012,1.5,17.04035874,892
"Croatia",2013,1.47,20.17543859,1026
"Croatia",2014,1.5,20.05597014,1072
"Croatia",2015,1.5,23.9884393,1038
"Croatia",2016,1.49,27.85782901,1041
"Croatia",2017,1.5,28.17391304,1150
"Croatia",2018,1.48,30.02502085,1199
"Croatia",2019,1.36,27.25631768,1108
"Croatia",2020,1.22,29.66101694,826
"Croatia",2021,1.44,28.98751733,721
"Croatia",2022,1.5,30.25641025,975
"Cyprus",2011,3.8,47.44525547,137
"Cyprus",2012,3.5,42.04545454,176
"Cyprus",2013,NA,51.85185185,162
"Cyprus",2014,NA,46.40522875,153
"Cyprus",2015,NA,45.52845528,123
"Cyprus",2016,NA,46.97986577,149
"Cyprus",2017,NA,42.94871794,156
"Cyprus",2018,NA,42.38410596,151
"Cyprus",2019,NA,43.47826086,92
"Cyprus",2020,NA,48.24561403,114
"Cyprus",2021,NA,51.5625,192
"Cyprus",2022,NA,46.36363636,220
"Czechia",2011,1.1,23.48993288,2682
"Czechia",2012,1.1,20.96831612,2809
"Czechia",2013,0.85,20.75855062,2953
"Czechia",2014,0.88,21.60618279,2976
"Czechia",2015,0.88,22.59083728,3165
"Czechia",2016,NA,27.63802678,3061
"Czechia",2017,NA,24.47639887,3199
"Czechia",2018,NA,24.27157778,3638
"Czechia",2019,NA,23.04445694,3554
"Czechia",2020,NA,20.18685352,2997
"Czechia",2021,0.48,19.70006816,2934
"Czechia",2022,0.48,18.2379349,3564
"Denmark",2011,0.6,14.06642478,3583
"Denmark",2012,0.6,14.12184552,3923
"Denmark",2013,0.52,12.44007065,3963
"Denmark",2014,0.5,12.25217197,4489
"Denmark",2015,0.49,11.90371991,4570
"Denmark",2016,0.48,11.0420551,4827
"Denmark",2017,0.44,12.78547725,5123
"Denmark",2018,0.41,13.25659116,5386
"Denmark",2019,0.37,11.47190008,5605
"Denmark",2020,0.33,11.2265758,5870
"Denmark",2021,0.32,10.47207446,6016
"Denmark",2022,0.34,10.70943652,5892
"Estonia",2011,0.8,9.93589743,312
"Estonia",2012,0.9,14.14473684,304
"Estonia",2013,0.89,11.83431952,338
"Estonia",2014,0.9,12.28501228,407
"Estonia",2015,0.92,15.234375,256
"Estonia",2016,0.85,13.87696709,699
"Estonia",2017,0.79,17.41357234,781
"Estonia",2018,0.75,17.61158021,829
"Estonia",2019,0.65,17.05685618,897
"Estonia",2020,0.72,14.07716371,959
"Estonia",2021,0.59,13.44902386,922
"Estonia",2022,0.61,16.31205673,987
"Finland",2011,0.9,10.9602649,3020
"Finland",2012,0.9,11.73308032,3162
"Finland",2013,0.84,13.23935876,3618
"Finland",2014,0.82,11.03586656,3987
"Finland",2015,0.73,11.17166212,4404
"Finland",2016,0.74,11.46006655,4808
"Finland",2017,0.67,12.00754005,5305
"Finland",2018,0.62,11.48126115,5043
"Finland",2019,0.47,11.44177449,5410
"Finland",2020,0.39,10.53418005,5354
"Finland",2021,0.36,9.56566701,5802
"Finland",2022,0.38,9.90813648,4572
"France",2011,1.8,17.92040487,8694
"France",2012,1.9,17.84582893,9470
"France",2013,1.84,16.73453173,10069
"France",2014,1.75,17.64820025,10307
"France",2015,1.6,17.74868157,10998
"France",2016,1.51,16.65629721,11251
"France",2017,1.37,15.0210084,13328
"France",2018,1.3,16.32243028,12443
"France",2019,1.21,15.97051597,13431
"France",2020,1.09,15.92439011,18569
"France",2021,0.99,14.75658679,18446
"France",2022,1.15,14.70571444,17517
"Germany",2011,1.5,23.73487348,3636
"Germany",2012,1.4,21.10792741,4188
"Germany",2013,1.42,22.07326283,5296
"Germany",2014,1.34,20.59062145,6163
"Germany",2015,1.33,19.38130613,9019
"Germany",2016,1.24,19.44638287,17196
"Germany",2017,1.11,20.74978204,22940
"Germany",2018,0.96,19.828764,21958
"Germany",2019,0.63,17.53230084,23374
"Germany",2020,0.49,16.53659565,28446
"Germany",2021,0.43,14.66013725,28997
"Germany",2022,0.48,15.13417833,31637
"Greece",2011,2.6,26.5875785,1433
"Greece",2012,2.4,29.08163265,1372
"Greece",2013,2.06,30.88709677,1240
"Greece",2014,2.56,32.76018099,1105
"Greece",2015,2.64,30.56255247,1191
"Greece",2016,2.61,32.13190184,1304
"Greece",2017,2.6,32.92349726,1464
"Greece",2018,2.94,30.77866339,1631
"Greece",2019,3.04,29.55665024,203
"Greece",2020,2.61,32.74336283,565
"Greece",2021,2.16,33.92857142,728
"Greece",2022,3.2,37.77239709,1239
"Hungary",2011,1.9,31.16240725,1213
"Hungary",2012,2,28.93036611,1393
"Hungary",2013,2.11,30.30726256,1432
"Hungary",2014,2.43,28.43866171,1614
"Hungary",2015,2.71,28.99554675,2021
"Hungary",2016,2.38,26.78751258,1986
"Hungary",2017,2.4,30.61921014,2051
"Hungary",2018,2.31,33.24873096,2364
"Hungary",2019,1.93,30.31693077,2398
"Hungary",2020,1.41,30.33707865,1958
"Hungary",2021,1.42,28.04878048,2460
"Hungary",2022,1.66,29.27696562,2531
"Iceland",2011,1.1,14.04958677,121
"Iceland",2012,1,9.70149253,134
"Iceland",2013,NA,14.65517241,116
"Iceland",2014,0.88,7.80141843,141
"Iceland",2015,0.92,6.79012345,162
