"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"1","131",1,"15",1
"2","131",1,"17",1
"3","131",1,"20",1
"4","131",1,"22",1
"5","131",1,"26",1
"6","131",1,"42",1
"7","131",1,"172",1
"8","131",1,"191",1
"9","131",1,"195",1
"10","131",1,"274",1
"11","91",1,"285",1
"12","538",1,"304",1
"13","538",1,"305",1
"14","538",1,"310",1
"15","428",1,"326",1
"16","428",1,"329",1
"17","429",1,"331",1
"18","429",1,"332",1
"19","357",1,"337",1
"20","357",1,"349",1
"21","357",1,"352",1
"22","357",1,"353",1
"23","357",1,"356",1
"24","999",1,"357",1
"25","1170",1,"359",1
"26","1236",1,"365",1
"27","83",1,"371",1
"28","676",1,"384",1
"29","136",1,"426",1
"30","136",1,"428",1
"31","3672",1,"441",1
"32","1161",1,"445",1
"33","141",1,"456",1
"34","141",1,"466",1
"35","141",1,"471",1
"36","141",1,"474",1
"37","1993",1,"475",1
"38","998",1,"478",1
"39","998",1,"482",1
"40","998",1,"484",1
"41","141",1,"499",1
"42","141",1,"502",1
"43","141",1,"507",1
"44","141",1,"511",1
"45","141",1,"513",1
"46","141",1,"522",1
"47","141",1,"525",1
"48","141",1,"528",1
"49","141",1,"531",1
"50","1159",1,"547",1
"51","135",1,"554",1
"52","135",1,"566",1
"53","95",1,"582",1
"54","2619",1,"588",1
"55","2619",1,"590",1
"56","2619",1,"594",1
"57","95",1,"609",1
"58","95",1,"618",1
"59","95",1,"637",1
"60","95",1,"649",1
"61","95",1,"653",1
"62","95",1,"661",1
"63","95",1,"662",1
"64","95",1,"675",1
"65","95",1,"676",1
"66","95",1,"678",1
"67","95",1,"686",1
"68","95",1,"695",1
"69","95",1,"704",1
"70","95",1,"712",1
"71","95",1,"723",1
"72","95",1,"724",1
"73","95",1,"730",1
"74","95",1,"732",1
"75","95",1,"747",1
"76","95",1,"754",1
"77","95",1,"759",1
"78","95",1,"767",1
"79","95",1,"787",1
"80","95",1,"795",1
"81","5484",1,"824",1
"82","421",1,"850",1
"83","10281",1,"854",1
"84","95",1,"904",1
"85","95",1,"916",1
"86","95",1,"925",1
"87","95",1,"933",1
"88","95",1,"940",1
"89","95",1,"942",1
"90","95",1,"949",1
"91","95",1,"950",1
"92","95",1,"955",1
"93","95",1,"960",1
"94","95",1,"969",1
"95","95",1,"970",1
"96","95",1,"972",1
"97","416",1,"987",1
"98","416",1,"993",1
