"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"1","131",1,"137",1
"2","131",1,"157",1
"3","131",1,"160",1
"4","131",1,"208",1
"5","131",1,"209",1
"6","131",1,"213",1
"7","131",1,"215",1
"8","131",1,"229",1
"9","131",1,"231",1
"10","131",1,"234",1
"11","131",1,"257",1
"12","1170",1,"349",1
"13","141",1,"482",1
"14","95",1,"598",1
"15","95",1,"894",1
"16","95",1,"906",1
"17","372",1,"1247",1
"18","14",1,"1355",1
"19","14",1,"1379",1
"20","14",1,"1380",1
"21","73",1,"1823",1
"22","10",1,"2067",1
"23","44",1,"2080",1
"24","43",1,"2109",1
"25","34",1,"2115",1
"26","398",1,"2178",1
"27","1684",1,"2181",1
"28","10283",1,"2227",1
"29","443",1,"2250",1
"30","8346",1,"2252",1
"31","58",1,"2277",1
"32","58",1,"2326",1
"33","10235",1,"2331",1
"34","641",1,"2348",1
"35","448",1,"2367",1
"36","88",1,"2411",1
"37","69",1,"2529",1
"38","69",1,"2542",1
"39","69",1,"2552",1
"40","69",1,"2561",1
"41","69",1,"2639",1
"42","69",1,"2665",1
"43","69",1,"2668",1
"44","393",1,"2756",1
"45","405",1,"2803",1
"46","405",1,"2804",1
"47","405",1,"2808",1
"48","38",1,"2847",1
"49","38",1,"2850",1
"50","38",1,"2864",1
"51","2003",1,"2866",1
"52","62",1,"2928",1
"53","354",1,"2995",1
"54","648",1,"3007",1
"55","131",33,"3095",11
"56","131",15,"3164",7
"57","131",4,"3194",3
"58","131",2,"3259",4
"59","131",2,"3282",1
"60","14",1,"4346",1
"61","1859",1,"4544",1
"62","10",1,"5129",1
"63","155",1,"5373",1
"64","90",3,"5486",6
"65","410",3,"5492",4
"66","69",2,"5644",1
"67","31",2,"5837",5
"68","405",2,"5851",3
"69","405",1,"5858",1
"70","38",8,"5885",9
"71","648",3,"6052",8
