"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"1","131",1,"165",1
"2","131",1,"171",1
"3","131",1,"195",1
"4","131",1,"211",1
"5","131",1,"215",1
"6","131",1,"217",1
"7","131",1,"219",1
"8","131",1,"230",1
"9","131",1,"234",1
"10","131",1,"235",1
"11","131",1,"238",1
"12","131",1,"250",1
"13","538",1,"318",1
"14","357",1,"349",1
"15","136",1,"426",1
"16","141",1,"543",1
"17","95",1,"782",1
"18","95",1,"810",1
"19","95",1,"872",1
"20","95",1,"887",1
"21","95",1,"920",1
"22","95",1,"955",1
"23","372",1,"1333",1
"24","14",1,"1462",1
"25","14",1,"1467",1
"26","569",1,"1609",1
"27","73",1,"1919",1
"28","73",1,"1989",1
"29","73",1,"2025",1
"30","73",1,"2159",1
"31","744",1,"2218",1
"32","10",1,"2221",1
"33","43",1,"2248",1
"34","450",1,"2277",1
"35","226",1,"2291",1
"36","46",1,"2318",1
"37","3520",1,"2366",1
"38","101",1,"2389",1
"39","443",1,"2397",1
"40","8346",1,"2399",1
"41","58",1,"2458",1
"42","155",1,"2465",1
"43","453",1,"2512",1
"44","448",1,"2523",1
"45","4566",1,"2551",1
"46","88",1,"2562",1
"47","88",1,"2573",1
"48","23",1,"2608",1
"49","23",1,"2612",1
"50","10257",1,"2626",1
"51","4598",1,"2629",1
"52","69",1,"2704",1
"53","69",1,"2717",1
"54","69",1,"2723",1
"55","69",1,"2728",1
"56","69",1,"2763",1
"57","394",1,"2932",1
"58","501",1,"2981",1
"59","1652",1,"3023",1
"60","38",1,"3024",1
"61","38",1,"3026",1
"62","38",1,"3044",1
"63","362",1,"3079",1
"64","2141",1,"3202",1
"65","354",1,"3203",1
"66","117",1,"3230",1
"67","10273",1,"3235",1
"68","117",1,"3236",1
"69","117",1,"3244",1
"70","131",114,"3307",14
"71","131",3,"3506",6
"72","1155",2,"3550",7
"73","1193",25,"4640",7
"74","10",2,"5471",1
"75","10",6,"5472",7
"76","10",2,"5479",12
"77","44",2,"5495",4
"78","167",2,"5497",3
"79","773",2,"5592",1
"80","162",4,"5625",4
"81","155",2,"5742",5
"82","453",2,"5783",1
"83","224",5,"5807",8
"84","90",3,"5862",6
"85","410",3,"5868",4
"86","1011",2,"5897",4
"87","69",5,"6004",13
"88","393",29,"6201",14
"89","405",13,"6251",16
"90","38",4,"6324",7
"91","354",2,"6460",3
"92","624",2,"6464",6
"93","648",7,"6468",8
