"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"1","131",1,"55",1
"2","131",1,"72",1
"3","131",1,"76",1
"4","131",1,"89",1
"5","131",1,"96",1
"6","131",1,"98",1
"7","131",1,"103",1
"8","131",1,"125",1
"9","131",1,"195",1
"10","131",1,"227",1
"11","131",1,"232",1
"12","131",1,"236",1
"13","131",1,"237",1
"14","131",1,"243",1
"15","1982",1,"249",1
"16","131",1,"263",1
"17","131",1,"274",1
"18","141",1,"499",1
"19","95",1,"820",1
"20","421",1,"860",1
"21","95",1,"942",1
"22","959",1,"1119",1
"23","12",1,"1126",1
"24","372",1,"1350",1
"25","10237",1,"1352",1
"26","1057",1,"1401",1
"27","14",1,"1462",1
"28","73",1,"1906",1
"29","73",1,"1920",1
"30","73",1,"2026",1
"31","10",1,"2187",1
"32","10",1,"2193",1
"33","44",1,"2218",1
"34","43",1,"2249",1
"35","450",1,"2278",1
"36","716",1,"2291",1
"37","773",1,"2330",1
"38","101",1,"2390",1
"39","58",1,"2428",1
"40","155",1,"2475",1
"41","1432",1,"2482",1
"42","10235",1,"2486",1
"43","5705",1,"2551",1
"44","219",1,"2638",1
"45","69",1,"2699",1
"46","69",1,"2724",1
"47","69",1,"2728",1
"48","69",1,"2734",1
"49","69",1,"2759",1
"50","69",1,"2763",1
"51","69",1,"2811",1
"52","394",1,"2933",1
"53","31",1,"2980",1
"54","405",1,"2988",1
"55","405",1,"2993",1
"56","405",1,"2995",1
"57","405",1,"2997",1
"58","405",1,"3001",1
"59","405",1,"3002",1
"60","405",1,"3003",1
"61","38",1,"3025",1
"62","38",1,"3027",1
"63","2141",1,"3203",1
"64","354",1,"3206",1
"65","648",1,"3218",1
"66","648",1,"3220",1
"67","131",2,"3292",3
"68","131",3,"3334",2
"69","131",4,"3340",3
"70","131",10,"3345",4
"71","131",23,"3359",14
"72","131",2,"3372",7
"73","131",2,"3432",9
"74","131",2,"3478",4
"75","131",3,"3498",4
"76","131",3,"3507",6
"77","1193",9,"4639",7
"78","73",2,"5343",1
"79","73",3,"5348",3
"80","10",2,"5481",12
"81","167",1,"5499",1
"82","410",2,"5872",2
"83","10277",1,"5883",1
"84","69",3,"6032",5
"85","69",2,"6039",2
"86","69",3,"6040",11
"87","38",3,"6326",6
"88","648",1,"6475",1
