"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"1","131",1,"45",1
"2","131",1,"48",1
"3","131",1,"64",1
"4","131",1,"80",1
"5","131",1,"90",1
"6","131",1,"100",1
"7","131",1,"170",1
"8","131",1,"259",1
"9","131",1,"277",1
"10","357",1,"353",1
"11","676",1,"384",1
"12","95",1,"942",1
"13","372",1,"1333",1
"14","372",1,"1359",1
"15","14",1,"1432",1
"16","14",1,"1467",1
"17","144",1,"1571",1
"18","73",1,"1806",1
"19","73",1,"1825",1
"20","10415",1,"1866",1
"21","73",1,"1887",1
"22","73",1,"1959",1
"23","73",1,"2031",1
"24","73",1,"2069",1
"25","73",1,"2099",1
"26","101",1,"2389",1
"27","10221",1,"2436",1
"28","410",1,"2606",1
"29","69",1,"2672",1
"30","7842",1,"2805",1
"31","394",1,"2937",1
"32","393",1,"2951",1
"33","393",1,"2969",1
"34","405",1,"2990",1
"35","38",1,"3027",1
"36","38",1,"3040",1
"37","38",1,"3047",1
"38","10223",1,"3098",1
"39","117",1,"3225",1
"40","10",2,"5473",1
"41","88",2,"5852",9
"42","4598",1,"5888",1
"43","354",1,"6461",1
