lane,Run accession,popPUNK_cluster,ST,CC131_clades,Duplicate,year,Lab,Hospital name,Regional health authority,Clermont_Phylotype,FimH,folP,gyrA,parC,gyrA_parC,parE,pmrB,blaTEM1,strB,sul2,strA,sul1,dfrA,tetA,tetB,aadA,mphA,dfrA1,aac3_Iia,catA1,dfrA5,CTX-M-type,CTX-M,dfrA14,blaOXA,aph3,catB3,acc,blaSHV,dfrA12,sul3,cmlA1,dfrA8,C_mefB,QnrS1,floR,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR
30134_6#100,ERR4034085,1,73,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH12,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30134_6#101,ERR4034086,8,127,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH2,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,I,,S,,S
30134_6#103,ERR4034087,3,69,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,,,,sul1,dfrA17,,tetB_4,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30134_6#104,ERR4034088,1,73,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#105,ERR4034089,5,537,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#107,ERR4034090,4,131,A,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,gyrA.S83L,,gyrA,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,,,mphA,,aac3,,,CTX-M-27,CTX-M,,,,,,,,,,,,,,R,,R,R,R,I,NS,+,R,S,,S,,S,,R
30134_6#108,ERR4034091,1,73,,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30134_6#109,ERR4034092,3,69,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,I,S,,I,,S,,R
30134_6#11,ERR4034036,1,73,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#111,ERR4034093,2,95,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH18,,,,,,,blaTEM1,,sul2,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S
