"","ST","Year","Cluster","Fraction","Num","TotalYearCluster"
"1","0",2002,"0",1,83,83
"2","0",2003,"0",1,121,121
"3","0",2004,"0",0.608,125,76
"4","0",2005,"0",0.641791044776119,134,86
"5","0",2006,"0",0.606299212598425,127,77
"6","0",2007,"0",0.671428571428571,140,94
"7","0",2008,"0",0.647798742138365,159,103
"8","0",2009,"0",0.630208333333333,192,121
"9","0",2010,"0",0.683673469387755,196,134
"10","0",2011,"0",0.621621621621622,222,138
"11","0",2012,"0",0.613718411552347,277,170
"12","0",2013,"0",0.533333333333333,255,136
"13","0",2014,"0",0.618867924528302,265,164
"14","0",2015,"0",0.577557755775578,303,175
"15","0",2016,"0",0.556666666666667,300,167
"16","0",2017,"0",0.566197183098592,355,201
"17","131",2002,"15",0,83,0
"18","131",2003,"15",0,121,0
"19","131",2004,"15",0,125,0
"20","131",2005,"15",0,134,0
"21","131",2006,"15",0,127,0
"22","131",2007,"15",0,140,0
"23","131",2008,"15",0,159,0
"24","131",2009,"15",0.00520833333333333,192,1
"25","131",2010,"15",0,196,0
"26","131",2011,"15",0,222,0
"27","131",2012,"15",0,277,0
"28","131",2013,"15",0,255,0
"29","131",2014,"15",0,265,0
"30","131",2015,"15",0,303,0
"31","131",2016,"15",0,300,0
"32","131",2017,"15",0,355,0
"33","131",2002,"17",0,83,0
"34","131",2003,"17",0,121,0
"35","131",2004,"17",0,125,0
"36","131",2005,"17",0,134,0
"37","131",2006,"17",0,127,0
"38","131",2007,"17",0,140,0
"39","131",2008,"17",0,159,0
"40","131",2009,"17",0,192,0
"41","131",2010,"17",0,196,0
"42","131",2011,"17",0,222,0
"43","131",2012,"17",0,277,0
"44","131",2013,"17",0,255,0
"45","131",2014,"17",0,265,0
"46","131",2015,"17",0,303,0
"47","131",2016,"17",0.00333333333333333,300,1
"48","131",2017,"17",0,355,0
"49","131",2002,"3071",0,83,0
"50","131",2003,"3071",0,121,0
"51","131",2004,"3071",0,125,0
"52","131",2005,"3071",0,134,0
"53","131",2006,"3071",0,127,0
"54","131",2007,"3071",0,140,0
"55","131",2008,"3071",0,159,0
"56","131",2009,"3071",0,192,0
"57","131",2010,"3071",0,196,0
"58","131",2011,"3071",0,222,0
"59","131",2012,"3071",0,277,0
