"","ST","Year","Cluster","Fraction","Num","TotalYearCluster"
"1","0",2002,"0",0.963855421686747,83,80
"2","0",2003,"0",0.983471074380165,121,119
"3","0",2004,"0",0.992,125,124
"4","0",2005,"0",0.932835820895522,134,125
"5","0",2006,"0",0.94488188976378,127,120
"6","0",2007,"0",0.942857142857143,140,132
"7","0",2008,"0",0.911949685534591,159,145
"8","0",2009,"0",0.916666666666667,192,176
"9","0",2010,"0",0.954081632653061,196,187
"10","0",2011,"0",0.900900900900901,222,200
"11","0",2012,"0",0.906137184115523,277,251
"12","0",2013,"0",0.854901960784314,255,218
"13","0",2014,"0",0.856603773584906,265,227
"14","0",2015,"0",0.891089108910891,303,270
"15","0",2016,"0",0.88,300,264
"16","0",2017,"0",0.856338028169014,355,304
"17","131",2002,"3307",0,83,0
"18","131",2003,"3307",0,121,0
"19","131",2004,"3307",0.008,125,1
"20","131",2005,"3307",0,134,0
"21","131",2006,"3307",0.0078740157480315,127,1
"22","131",2007,"3307",0.0214285714285714,140,3
"23","131",2008,"3307",0.0251572327044025,159,4
"24","131",2009,"3307",0.0364583333333333,192,7
"25","131",2010,"3307",0.0204081632653061,196,4
"26","131",2011,"3307",0.0315315315315315,222,7
"27","131",2012,"3307",0.0324909747292419,277,9
"28","131",2013,"3307",0.0588235294117647,255,15
"29","131",2014,"3307",0.0452830188679245,265,12
"30","131",2015,"3307",0.0495049504950495,303,15
"31","131",2016,"3307",0.06,300,18
"32","131",2017,"3307",0.0507042253521127,355,18
"33","131",2002,"165",0,83,0
"34","131",2003,"165",0,121,0
"35","131",2004,"165",0,125,0
"36","131",2005,"165",0,134,0
"37","131",2006,"165",0,127,0
"38","131",2007,"165",0,140,0
"39","131",2008,"165",0,159,0
"40","131",2009,"165",0,192,0
"41","131",2010,"165",0,196,0
"42","131",2011,"165",0,222,0
"43","131",2012,"165",0.0036101083032491,277,1
"44","131",2013,"165",0,255,0
"45","131",2014,"165",0,265,0
"46","131",2015,"165",0,303,0
"47","131",2016,"165",0,300,0
"48","131",2017,"165",0,355,0
"49","131",2002,"171",0,83,0
"50","131",2003,"171",0,121,0
"51","131",2004,"171",0,125,0
"52","131",2005,"171",0,134,0
"53","131",2006,"171",0,127,0
"54","131",2007,"171",0.00714285714285714,140,1
"55","131",2008,"171",0,159,0
"56","131",2009,"171",0,192,0
"57","131",2010,"171",0,196,0
"58","131",2011,"171",0,222,0
"59","131",2012,"171",0,277,0
"60","131",2013,"171",0,255,0
"61","131",2014,"171",0,265,0
"62","131",2015,"171",0,303,0
"63","131",2016,"171",0,300,0
"64","131",2017,"171",0,355,0
"65","131",2002,"195",0,83,0
"66","131",2003,"195",0,121,0
"67","131",2004,"195",0,125,0
"68","131",2005,"195",0,134,0
"69","131",2006,"195",0,127,0
"70","131",2007,"195",0,140,0
"71","131",2008,"195",0,159,0
"72","131",2009,"195",0,192,0
"73","131",2010,"195",0,196,0
"74","131",2011,"195",0,222,0
"75","131",2012,"195",0,277,0
"76","131",2013,"195",0,255,0
"77","131",2014,"195",0,265,0
"78","131",2015,"195",0,303,0
"79","131",2016,"195",0,300,0
"80","131",2017,"195",0.0028169014084507,355,1
"81","131",2002,"211",0,83,0
"82","131",2003,"211",0,121,0
"83","131",2004,"211",0,125,0
"84","131",2005,"211",0,134,0
"85","131",2006,"211",0,127,0
"86","131",2007,"211",0,140,0
"87","131",2008,"211",0,159,0
"88","131",2009,"211",0,192,0
"89","131",2010,"211",0,196,0
"90","131",2011,"211",0,222,0
"91","131",2012,"211",0,277,0
"92","131",2013,"211",0,255,0
"93","131",2014,"211",0,265,0
"94","131",2015,"211",0,303,0
"95","131",2016,"211",0,300,0
"96","131",2017,"211",0.0028169014084507,355,1
"97","131",2002,"215",0,83,0
"98","131",2003,"215",0,121,0
"99","131",2004,"215",0,125,0
"100","131",2005,"215",0,134,0
"101","131",2006,"215",0,127,0
"102","131",2007,"215",0,140,0
"103","131",2008,"215",0,159,0
"104","131",2009,"215",0,192,0
"105","131",2010,"215",0,196,0
"106","131",2011,"215",0,222,0
"107","131",2012,"215",0,277,0
"108","131",2013,"215",0,255,0
