"","ST","Year","Cluster","Fraction","Num","TotalYearCluster"
"1","0",2002,"0",1,83,83
"2","0",2003,"0",1,121,121
"3","0",2004,"0",0.944,125,118
"4","0",2005,"0",0.962686567164179,134,129
"5","0",2006,"0",0.984251968503937,127,125
"6","0",2007,"0",0.942857142857143,140,132
"7","0",2008,"0",0.962264150943396,159,153
"8","0",2009,"0",0.963541666666667,192,185
"9","0",2010,"0",0.959183673469388,196,188
"10","0",2011,"0",0.945945945945946,222,210
"11","0",2012,"0",0.963898916967509,277,267
"12","0",2013,"0",0.937254901960784,255,239
"13","0",2014,"0",0.969811320754717,265,257
"14","0",2015,"0",0.947194719471947,303,287
"15","0",2016,"0",0.946666666666667,300,284
"16","0",2017,"0",0.935211267605634,355,332
"17","131",2002,"3080",0,83,0
"18","131",2003,"3080",0,121,0
"19","131",2004,"3080",0,125,0
"20","131",2005,"3080",0,134,0
"21","131",2006,"3080",0,127,0
"22","131",2007,"3080",0,140,0
"23","131",2008,"3080",0,159,0
"24","131",2009,"3080",0,192,0
"25","131",2010,"3080",0,196,0
"26","131",2011,"3080",0,222,0
"27","131",2012,"3080",0,277,0
"28","131",2013,"3080",0,255,0
"29","131",2014,"3080",0,265,0
"30","131",2015,"3080",0.0033003300330033,303,1
"31","131",2016,"3080",0,300,0
"32","131",2017,"3080",0.0028169014084507,355,1
"33","131",2002,"55",0,83,0
"34","131",2003,"55",0,121,0
"35","131",2004,"55",0,125,0
"36","131",2005,"55",0,134,0
"37","131",2006,"55",0,127,0
"38","131",2007,"55",0,140,0
"39","131",2008,"55",0,159,0
"40","131",2009,"55",0.00520833333333333,192,1
"41","131",2010,"55",0,196,0
"42","131",2011,"55",0,222,0
"43","131",2012,"55",0,277,0
"44","131",2013,"55",0,255,0
"45","131",2014,"55",0,265,0
"46","131",2015,"55",0,303,0
"47","131",2016,"55",0,300,0
"48","131",2017,"55",0,355,0
"49","131",2002,"60",0,83,0
"50","131",2003,"60",0,121,0
"51","131",2004,"60",0,125,0
"52","131",2005,"60",0,134,0
"53","131",2006,"60",0,127,0
"54","131",2007,"60",0,140,0
"55","131",2008,"60",0,159,0
"56","131",2009,"60",0,192,0
"57","131",2010,"60",0,196,0
"58","131",2011,"60",0,222,0
