"","ST","Year","Cluster","Fraction","Num","TotalYearCluster"
"1","0",2002,"0",1,83,83
"2","0",2003,"0",0.991735537190083,121,120
"3","0",2004,"0",1,125,125
"4","0",2005,"0",0.992537313432836,134,133
"5","0",2006,"0",0.992125984251969,127,126
"6","0",2007,"0",0.978571428571429,140,137
"7","0",2008,"0",1,159,159
"8","0",2009,"0",0.96875,192,186
"9","0",2010,"0",0.979591836734694,196,192
"10","0",2011,"0",0.986486486486487,222,219
"11","0",2012,"0",0.992779783393502,277,275
"12","0",2013,"0",0.992156862745098,255,253
"13","0",2014,"0",0.969811320754717,265,257
"14","0",2015,"0",0.983498349834984,303,298
"15","0",2016,"0",0.986666666666667,300,296
"16","0",2017,"0",0.985915492957746,355,350
"17","131",2002,"45",0,83,0
"18","131",2003,"45",0,121,0
"19","131",2004,"45",0,125,0
"20","131",2005,"45",0,134,0
"21","131",2006,"45",0,127,0
"22","131",2007,"45",0,140,0
"23","131",2008,"45",0,159,0
"24","131",2009,"45",0,192,0
"25","131",2010,"45",0,196,0
"26","131",2011,"45",0,222,0
"27","131",2012,"45",0,277,0
"28","131",2013,"45",0,255,0
"29","131",2014,"45",0.00377358490566038,265,1
"30","131",2015,"45",0,303,0
"31","131",2016,"45",0,300,0
"32","131",2017,"45",0,355,0
"33","131",2002,"48",0,83,0
"34","131",2003,"48",0,121,0
"35","131",2004,"48",0,125,0
"36","131",2005,"48",0,134,0
"37","131",2006,"48",0,127,0
"38","131",2007,"48",0,140,0
"39","131",2008,"48",0,159,0
"40","131",2009,"48",0,192,0
"41","131",2010,"48",0,196,0
"42","131",2011,"48",0,222,0
"43","131",2012,"48",0,277,0
"44","131",2013,"48",0.00392156862745098,255,1
"45","131",2014,"48",0,265,0
"46","131",2015,"48",0,303,0
"47","131",2016,"48",0,300,0
"48","131",2017,"48",0,355,0
"49","131",2002,"64",0,83,0
"50","131",2003,"64",0,121,0
"51","131",2004,"64",0,125,0
"52","131",2005,"64",0,134,0
"53","131",2006,"64",0,127,0
"54","131",2007,"64",0.00714285714285714,140,1
"55","131",2008,"64",0,159,0
"56","131",2009,"64",0,192,0
"57","131",2010,"64",0,196,0
"58","131",2011,"64",0,222,0
"59","131",2012,"64",0,277,0
"60","131",2013,"64",0,255,0
"61","131",2014,"64",0,265,0
"62","131",2015,"64",0,303,0
"63","131",2016,"64",0,300,0
"64","131",2017,"64",0,355,0
"65","131",2002,"80",0,83,0
"66","131",2003,"80",0,121,0
"67","131",2004,"80",0,125,0
"68","131",2005,"80",0,134,0
"69","131",2006,"80",0,127,0
"70","131",2007,"80",0,140,0
"71","131",2008,"80",0,159,0
"72","131",2009,"80",0,192,0
"73","131",2010,"80",0,196,0
"74","131",2011,"80",0,222,0
"75","131",2012,"80",0,277,0
"76","131",2013,"80",0,255,0
"77","131",2014,"80",0,265,0
"78","131",2015,"80",0,303,0
"79","131",2016,"80",0.00333333333333333,300,1
"80","131",2017,"80",0,355,0
"81","131",2002,"90",0,83,0
"82","131",2003,"90",0,121,0
"83","131",2004,"90",0,125,0
"84","131",2005,"90",0,134,0
"85","131",2006,"90",0,127,0
"86","131",2007,"90",0,140,0
"87","131",2008,"90",0,159,0
"88","131",2009,"90",0,192,0
"89","131",2010,"90",0,196,0
"90","131",2011,"90",0,222,0
"91","131",2012,"90",0,277,0
"92","131",2013,"90",0,255,0
"93","131",2014,"90",0,265,0
"94","131",2015,"90",0,303,0
"95","131",2016,"90",0.00333333333333333,300,1
"96","131",2017,"90",0,355,0
"97","131",2002,"100",0,83,0
"98","131",2003,"100",0,121,0
"99","131",2004,"100",0,125,0
"100","131",2005,"100",0,134,0
"101","131",2006,"100",0,127,0
"102","131",2007,"100",0,140,0
"103","131",2008,"100",0,159,0
"104","131",2009,"100",0,192,0
"105","131",2010,"100",0,196,0
"106","131",2011,"100",0,222,0
"107","131",2012,"100",0,277,0
"108","131",2013,"100",0,255,0
"109","131",2014,"100",0,265,0
"110","131",2015,"100",0.0033003300330033,303,1
"111","131",2016,"100",0,300,0
"112","131",2017,"100",0,355,0
"113","131",2002,"170",0,83,0
"114","131",2003,"170",0,121,0
"115","131",2004,"170",0,125,0
"116","131",2005,"170",0,134,0
"117","131",2006,"170",0,127,0
"118","131",2007,"170",0,140,0
"119","131",2008,"170",0,159,0
"120","131",2009,"170",0,192,0
"121","131",2010,"170",0,196,0
"122","131",2011,"170",0,222,0
"123","131",2012,"170",0,277,0
"124","131",2013,"170",0,255,0
"125","131",2014,"170",0,265,0
"126","131",2015,"170",0.0033003300330033,303,1
"127","131",2016,"170",0,300,0
"128","131",2017,"170",0,355,0
"129","131",2002,"259",0,83,0
"130","131",2003,"259",0,121,0
"131","131",2004,"259",0,125,0
"132","131",2005,"259",0,134,0
"133","131",2006,"259",0.0078740157480315,127,1
"134","131",2007,"259",0,140,0
"135","131",2008,"259",0,159,0
"136","131",2009,"259",0,192,0
"137","131",2010,"259",0,196,0
"138","131",2011,"259",0,222,0
"139","131",2012,"259",0,277,0
"140","131",2013,"259",0,255,0
"141","131",2014,"259",0,265,0
"142","131",2015,"259",0,303,0
"143","131",2016,"259",0,300,0
"144","131",2017,"259",0,355,0
"145","131",2002,"277",0,83,0
"146","131",2003,"277",0,121,0
"147","131",2004,"277",0,125,0
"148","131",2005,"277",0,134,0
"149","131",2006,"277",0,127,0
"150","131",2007,"277",0,140,0
"151","131",2008,"277",0,159,0
"152","131",2009,"277",0.00520833333333333,192,1
"153","131",2010,"277",0,196,0
"154","131",2011,"277",0,222,0
"155","131",2012,"277",0,277,0
"156","131",2013,"277",0,255,0
"157","131",2014,"277",0,265,0
"158","131",2015,"277",0,303,0
"159","131",2016,"277",0,300,0
"160","131",2017,"277",0,355,0
"161","357",2002,"353",0,83,0
"162","357",2003,"353",0,121,0
"163","357",2004,"353",0,125,0
"164","357",2005,"353",0,134,0
"165","357",2006,"353",0,127,0
"166","357",2007,"353",0,140,0
"167","357",2008,"353",0,159,0
"168","357",2009,"353",0,192,0
"169","357",2010,"353",0,196,0
