Id,Run accession,popPUNK_cluster__autocolour,ST__autocolour,CC131_clades__autocolour,Duplicate__autocolour,year,Lab,Hospital name,Regional health authority,Regional health authority__colour,Latitude,Longitude,Clermont_Phylotype__autocolour,FimH__autocolor,folP__autocolour,gyrA__autocolour,parC__autocolour,gyrA_parC__autocolour,parE__autocolour,pmrB__autocolour,blaTEM1__autocolour,strB__autocolour,sul2__autocolour,strA__autocolour,sul1__autocolour,dfrA__autocolour,tetA__autocolour,tetB__autocolour,aadA__autocolour,mphA__autocolour,dfrA1__autocolour,aac3_Iia__autocolour,catA1__autocolour,dfrA5__autocolour,CTX-M-type__autocolour,CTX-M__autocolour,dfrA14__autocolour,blaOXA__autocolour,aph3__autocolour,catB3__autocolour,acc__autocolour,blaSHV__autocolour,dfrA12__autocolour,sul3__autocolour,cmlA1__autocolour,dfrA8__autocolour,C_mefB__autocolour,QnrS1__autocolour,floR__autocolour,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR,Ampicillin_SIR__colour,Aztreonam_SIR__colour,Cefotaxim_SIR__colour,Ceftazidim_SIR__colour,Cefuroxim_SIR__colour,Ciprofloxacin_SIR__colour,ESBL__colour,Gentamicin_SIR__colour,Meropenem_SIR__colour,Nalidixin_SIR__colour,Piperacillin_tazobactam_SIR__colour,Sulfa_SIR__colour,Tigecyklin_SIR__colour,Tobramycin_SIR__colour,Trimetoprim_sulfa_SIR__colour
30134_6_100,ERR4034085,1,73,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH12,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_101,ERR4034086,8,127,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH2,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,I,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,,#57C4AD,,#57C4AD
30134_6_103,ERR4034087,3,69,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,,,,sul1,dfrA17,,tetB_4,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_104,ERR4034088,1,73,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_105,ERR4034089,5,537,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_107,ERR4034090,4,131,A,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH41,,gyrA.S83L,,gyrA,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,,,mphA,,aac3,,,CTX-M-27,CTX-M,,,,,,,,,,,,,,R,,R,R,R,I,NS,+,R,S,,S,,S,,R,#DB4325,,#DB4325,#DB4325,#DB4325,#EDA247,#DB4325,#DB4325,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_108,ERR4034091,1,73,,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30134_6_109,ERR4034092,3,69,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,I,S,,I,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,#57C4AD,,#EDA247,,#57C4AD,,#DB4325
30134_6_11,ERR4034036,1,73,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_111,ERR4034093,2,95,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH18,,,,,,,blaTEM1,,sul2,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
