"Collection.Year","ST.Achtman.7.Gene.MLST.","Assembly.barcode.Assembly.stats.","blaTEM-1B_1","blaCTX-M-15_1","ST_20","ST_100"
2008,10,"ESC_AA0061AA_AS",0,0,"10","10"
2013,10,"ESC_AA0065AA_AS",0,0,"10","10"
2012,10,"ESC_AA0071AA_AS",0,0,"10","10"
2013,10,"ESC_AA0073AA_AS",0,0,"10","10"
2013,10,"ESC_AA0079AA_AS",0,0,"10","10"
2013,10,"ESC_AA0085AA_AS",0,0,"10","10"
2013,10,"ESC_AA0089AA_AS",0,0,"10","10"
2008,10,"ESC_AA0115AA_AS",0,0,"10","10"
2012,10,"ESC_AA0117AA_AS",0,0,"10","10"
2013,10,"ESC_AA0145AA_AS",0,0,"10","10"
2008,10,"ESC_AA0154AA_AS",0,0,"10","10"
2013,10,"ESC_AA0185AA_AS",0,0,"10","10"
2013,10,"ESC_AA0189AA_AS",0,0,"10","10"
2013,10,"ESC_AA0233AA_AS",0,0,"10","10"
2012,10,"ESC_AA0251AA_AS",0,0,"10","10"
2013,10,"ESC_AA0257AA_AS",0,0,"10","10"
2013,10,"ESC_AA0283AA_AS",0,0,"10","10"
2013,10,"ESC_AA0301AA_AS",0,0,"10","10"
2011,10,"ESC_AA0313AA_AS",0,0,"10","10"
2008,10,"ESC_AA0316AA_AS",0,0,"10","10"
2008,10,"ESC_AA0320AA_AS",0,0,"10","10"
2009,12,"ESC_AA0356AA_AS",0,0,"Other","12"
2009,12,"ESC_AA0358AA_AS",0,0,"Other","12"
2008,12,"ESC_AA0360AA_AS",0,0,"Other","12"
2009,12,"ESC_AA0362AA_AS",0,0,"Other","12"
2009,12,"ESC_AA0364AA_AS",0,0,"Other","12"
2009,14,"ESC_AA0405AA_AS",0,0,"Other","Other"
2009,14,"ESC_AA0407AA_AS",0,0,"Other","Other"
2009,14,"ESC_AA0409AA_AS",0,0,"Other","Other"
2009,14,"ESC_AA0410AA_AS",0,0,"Other","Other"
2009,14,"ESC_AA0411AA_AS",0,0,"Other","Other"
2009,14,"ESC_AA0412AA_AS",0,0,"Other","Other"
2000,29,"ESC_AA0602AA_AS",0,0,"29","29"
2000,29,"ESC_AA0608AA_AS",0,0,"29","29"
2001,29,"ESC_AA0614AA_AS",0,0,"29","29"
2001,29,"ESC_AA0615AA_AS",0,0,"29","29"
2001,29,"ESC_AA0616AA_AS",0,0,"29","29"
2001,29,"ESC_AA0617AA_AS",0,0,"29","29"
2000,29,"ESC_AA0618AA_AS",0,0,"29","29"
2002,29,"ESC_AA0619AA_AS",0,0,"29","29"
2002,29,"ESC_AA0620AA_AS",0,0,"29","29"
2001,29,"ESC_AA0621AA_AS",0,0,"29","29"
2001,29,"ESC_AA0622AA_AS",0,0,"29","29"
2001,29,"ESC_AA0623AA_AS",0,0,"29","29"
2002,29,"ESC_AA0624AA_AS",0,0,"29","29"
1999,29,"ESC_AA0625AA_AS",0,0,"29","29"
2001,29,"ESC_AA0626AA_AS",0,0,"29","29"
1994,30,"ESC_AA0649AA_AS",0,0,"Other","Other"
1994,30,"ESC_AA0653AA_AS",0,0,"Other","Other"
1987,30,"ESC_AA0654AA_AS",0,0,"Other","Other"
1987,30,"ESC_AA0655AA_AS",0,0,"Other","Other"
1994,31,"ESC_AA0667AA_AS",0,0,"Other","31"
1995,31,"ESC_AA0676AA_AS",0,0,"Other","31"
1994,31,"ESC_AA0682AA_AS",0,0,"Other","31"
1994,31,"ESC_AA0685AA_AS",0,0,"Other","31"
1994,34,"ESC_AA0722AA_AS",0,0,"34","34"
1994,34,"ESC_AA0726AA_AS",0,0,"34","34"
2008,34,"ESC_AA0728AA_AS",0,0,"34","34"
1994,34,"ESC_AA0730AA_AS",0,0,"34","34"
1994,34,"ESC_AA0733AA_AS",0,0,"34","34"
1994,34,"ESC_AA0734AA_AS",0,0,"34","34"
1994,34,"ESC_AA0736AA_AS",0,0,"34","34"
1995,34,"ESC_AA0737AA_AS",0,0,"34","34"
1994,34,"ESC_AA0738AA_AS",0,0,"34","34"
1994,34,"ESC_AA0739AA_AS",0,0,"34","34"
1994,34,"ESC_AA0740AA_AS",0,0,"34","34"
1995,34,"ESC_AA0741AA_AS",0,0,"34","34"
1994,34,"ESC_AA0742AA_AS",0,0,"34","34"
1994,34,"ESC_AA0743AA_AS",0,0,"34","34"
1994,34,"ESC_AA0744AA_AS",0,0,"34","34"
1995,34,"ESC_AA0745AA_AS",0,0,"34","34"
1991,34,"ESC_AA0747AA_AS",0,0,"34","34"
1995,34,"ESC_AA0748AA_AS",0,0,"34","34"
1994,34,"ESC_AA0749AA_AS",0,0,"34","34"
2008,34,"ESC_AA0750AA_AS",0,0,"34","34"
2010,34,"ESC_AA0751AA_AS",0,0,"34","34"
1994,34,"ESC_AA0752AA_AS",0,0,"34","34"
1994,34,"ESC_AA0753AA_AS",0,0,"34","34"
1994,34,"ESC_AA0754AA_AS",0,0,"34","34"
1994,34,"ESC_AA0756AA_AS",0,0,"34","34"
2013,34,"ESC_AA0757AA_AS",0,0,"34","34"
1994,34,"ESC_AA0758AA_AS",0,0,"34","34"
1994,34,"ESC_AA0759AA_AS",0,0,"34","34"
1994,34,"ESC_AA0760AA_AS",0,0,"34","34"
1994,34,"ESC_AA0761AA_AS",0,0,"34","34"
2008,38,"ESC_AA0783AA_AS",0,0,"Other","38"
2009,38,"ESC_AA0785AA_AS",0,0,"Other","38"
2013,38,"ESC_AA0786AA_AS",0,0,"Other","38"
2009,38,"ESC_AA0787AA_AS",0,0,"Other","38"
2009,38,"ESC_AA0789AA_AS",0,0,"Other","38"
2008,38,"ESC_AA0793AA_AS",0,0,"Other","38"
2008,38,"ESC_AA0821AA_AS",0,0,"Other","38"
2008,38,"ESC_AA0830AA_AS",0,0,"Other","38"
2008,40,"ESC_AA0836AA_AS",0,0,"40","40"
2008,40,"ESC_AA0838AA_AS",0,0,"40","40"
2012,40,"ESC_AA0840AA_AS",0,0,"40","40"
1984,40,"ESC_AA0842AA_AS",0,0,"40","40"
2008,40,"ESC_AA0844AA_AS",0,0,"40","40"
2012,40,"ESC_AA0848AA_AS",0,0,"40","40"
2012,40,"ESC_AA0850AA_AS",0,0,"40","40"
2008,40,"ESC_AA0852AA_AS",0,0,"40","40"
2010,40,"ESC_AA0855AA_AS",0,0,"40","40"
2008,40,"ESC_AA0856AA_AS",0,0,"40","40"
1994,43,"ESC_AA0860AA_AS",0,0,"Other","43"
1994,43,"ESC_AA0862AA_AS",0,0,"Other","43"
1994,43,"ESC_AA0864AA_AS",0,0,"Other","43"
1995,43,"ESC_AA0866AA_AS",0,0,"Other","43"
2008,43,"ESC_AA0867AA_AS",0,0,"Other","43"
1995,43,"ESC_AA0868AA_AS",0,0,"Other","43"
1994,43,"ESC_AA0870AA_AS",0,0,"Other","43"
2008,48,"ESC_AA0886AA_AS",0,0,"Other","48"
1994,48,"ESC_AA0888AA_AS",0,0,"Other","48"
1994,48,"ESC_AA0898AA_AS",0,0,"Other","48"
2008,48,"ESC_AA0907AA_AS",0,0,"Other","48"
1995,48,"ESC_AA0908AA_AS",0,0,"Other","48"
2008,58,"ESC_AA0940AA_AS",0,0,"Other","58"
1979,59,"ESC_AA0968AA_AS",0,0,"Other","59"
2008,59,"ESC_AA0985AA_AS",0,0,"Other","59"
2008,68,"ESC_AA1037AA_AS",0,0,"Other","Other"
2009,69,"ESC_AA1051AA_AS",0,0,"69","69"
2008,69,"ESC_AA1057AA_AS",0,0,"69","69"
2009,69,"ESC_AA1059AA_AS",0,0,"69","69"
2009,69,"ESC_AA1063AA_AS",0,0,"69","69"
2008,69,"ESC_AA1067AA_AS",0,0,"69","69"
2008,69,"ESC_AA1071AA_AS",0,0,"69","69"
2008,69,"ESC_AA1077AA_AS",0,0,"69","69"
2009,69,"ESC_AA1079AA_AS",0,0,"69","69"
2009,69,"ESC_AA1083AA_AS",0,0,"69","69"
2009,69,"ESC_AA1087AA_AS",0,0,"69","69"
2008,69,"ESC_AA1088AA_AS",0,0,"69","69"
2008,69,"ESC_AA1089AA_AS",0,0,"69","69"
2008,69,"ESC_AA1114AA_AS",0,0,"69","69"
2008,73,"ESC_AA1164AA_AS",0,0,"73","73"
2009,73,"ESC_AA1166AA_AS",0,0,"73","73"
2008,73,"ESC_AA1168AA_AS",0,0,"73","73"
2008,73,"ESC_AA1172AA_AS",0,0,"73","73"
2008,73,"ESC_AA1174AA_AS",0,0,"73","73"
2008,73,"ESC_AA1176AA_AS",0,0,"73","73"
2009,73,"ESC_AA1178AA_AS",0,0,"73","73"
2009,73,"ESC_AA1180AA_AS",0,0,"73","73"
2008,73,"ESC_AA1182AA_AS",0,0,"73","73"
2008,73,"ESC_AA1184AA_AS",0,0,"73","73"
2008,73,"ESC_AA1186AA_AS",0,0,"73","73"
2009,73,"ESC_AA1188AA_AS",0,0,"73","73"
2008,73,"ESC_AA1190AA_AS",0,0,"73","73"
2009,73,"ESC_AA1194AA_AS",0,0,"73","73"
2008,73,"ESC_AA1196AA_AS",0,0,"73","73"
2008,73,"ESC_AA1200AA_AS",0,0,"73","73"
2009,73,"ESC_AA1245AA_AS",0,0,"73","73"
2008,80,"ESC_AA1279AA_AS",0,0,"Other","Other"
2009,80,"ESC_AA1289AA_AS",0,0,"Other","Other"
2008,93,"ESC_AA1374AA_AS",0,0,"Other","93"
2009,95,"ESC_AA1382AA_AS",0,0,"95","95"
1978,95,"ESC_AA1391AA_AS",0,0,"95","95"
1979,95,"ESC_AA1499AA_AS",0,0,"95","95"
2008,95,"ESC_AA1508AA_AS",0,0,"95","95"
2009,95,"ESC_AA1512AA_AS",0,0,"95","95"
2009,95,"ESC_AA1513AA_AS",0,0,"95","95"
1990,100,"ESC_AA1560AA_AS",0,0,"Other","Other"
1994,117,"ESC_AA1653AA_AS",0,0,"Other","117"
2008,118,"ESC_AA1661AA_AS",0,0,"Other","Other"
2008,127,"ESC_AA1705AA_AS",0,0,"Other","127"
2009,127,"ESC_AA1707AA_AS",0,0,"Other","127"
2009,127,"ESC_AA1709AA_AS",0,0,"Other","127"
2008,127,"ESC_AA1711AA_AS",0,0,"Other","127"
2009,127,"ESC_AA1713AA_AS",0,0,"Other","127"
1994,130,"ESC_AA1736AA_AS",0,0,"Other","Other"
2008,130,"ESC_AA1742AA_AS",0,0,"Other","Other"
2009,131,"ESC_AA1769AA_AS",0,0,"131","131"
2009,131,"ESC_AA1771AA_AS",0,0,"131","131"
2009,131,"ESC_AA1816AA_AS",0,0,"131","131"
2008,131,"ESC_AA1821AA_AS",0,0,"131","131"
2009,131,"ESC_AA1831AA_AS",0,0,"131","131"
2009,131,"ESC_AA1833AA_AS",0,0,"131","131"
2008,131,"ESC_AA1843AA_AS",0,0,"131","131"
2008,131,"ESC_AA1846AA_AS",0,0,"131","131"
2008,131,"ESC_AA1847AA_AS",0,0,"131","131"
2008,131,"ESC_AA1850AA_AS",0,0,"131","131"
2009,131,"ESC_AA1852AA_AS",0,0,"131","131"
2009,131,"ESC_AA1853AA_AS",0,0,"131","131"
2008,131,"ESC_AA1855AA_AS",0,0,"131","131"
2008,131,"ESC_AA1856AA_AS",0,0,"131","131"
2009,131,"ESC_AA1858AA_AS",0,0,"131","131"
2009,131,"ESC_AA1860AA_AS",0,0,"131","131"
2008,131,"ESC_AA1861AA_AS",0,0,"131","131"
2009,131,"ESC_AA1864AA_AS",0,0,"131","131"
2008,131,"ESC_AA1877AA_AS",0,0,"131","131"
1979,139,"ESC_AA1890AA_AS",0,0,"Other","Other"
2009,140,"ESC_AA1900AA_AS",0,0,"Other","Other"
2009,141,"ESC_AA1947AA_AS",0,0,"Other","141"
2008,141,"ESC_AA1954AA_AS",0,0,"Other","141"
2008,144,"ESC_AA1964AA_AS",0,0,"Other","144"
2008,144,"ESC_AA1969AA_AS",0,0,"Other","144"
2012,152,"ESC_AA1989AA_AS",0,0,"152","152"
1995,159,"ESC_AA2042AA_AS",0,0,"Other","Other"
2013,159,"ESC_AA2043AA_AS",0,0,"Other","Other"
2012,200,"ESC_AA2142AA_AS",0,0,"200","200"
1987,200,"ESC_AA2144AA_AS",0,0,"200","200"
2013,200,"ESC_AA2150AA_AS",0,0,"200","200"
1994,200,"ESC_AA2152AA_AS",0,0,"200","200"
1994,200,"ESC_AA2154AA_AS",0,0,"200","200"
1994,200,"ESC_AA2155AA_AS",0,0,"200","200"
2012,200,"ESC_AA2158AA_AS",0,0,"200","200"
1985,200,"ESC_AA2159AA_AS",0,0,"200","200"
1994,200,"ESC_AA2160AA_AS",0,0,"200","200"
1994,200,"ESC_AA2161AA_AS",0,0,"200","200"
1988,200,"ESC_AA2163AA_AS",0,0,"200","200"
1994,200,"ESC_AA2164AA_AS",0,0,"200","200"
2012,200,"ESC_AA2166AA_AS",0,0,"200","200"
1994,200,"ESC_AA2169AA_AS",0,0,"200","200"
1994,200,"ESC_AA2170AA_AS",0,0,"200","200"
2012,200,"ESC_AA2171AA_AS",0,0,"200","200"
